Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
177,-0.0134656489,-0.0055419847,0.0230610687,0.0004439697,-0.004479126,0.9952285156
178,-0.0058320611,0.0020916031,0.0154274809,-0.0012650146,-0.0030142822,0.9976699219
179,-0.0134656489,0.0020916031,0.0077938931,-0.0032181396,-0.0039908447,1.006703125
180,0.0018015267,-0.0055419847,0.0154274809,0.0163131104,-0.0032584229,1.0010878906
181,0.0094351145,0.0097251908,0.0001603053,0.0019088135,0.0077279053,0.9937636719
182,0.0094351145,0.0173587786,0.0154274809,0.0023970947,0.0035775146,0.9991347656
183,-0.0134656489,-0.0131755725,0.0001603053,0.0168013916,-0.0010611572,0.9971816406
184,0.0247022901,0.0020916031,0.0001603053,-0.0124954834,-0.0078970947,0.9998671875
185,0.0094351145,-0.0055419847,0.0154274809,0.0036177979,0.013098999,1.0025527344
186,-0.0134656489,-0.0360763359,0.0230610687,-0.0017532959,-0.0010611572,0.9896132813
187,0.0094351145,0.0173587786,0.0154274809,0.0004439697,-0.0010611572,1.0059707031
188,-0.0134656489,-0.0055419847,0.0383282443,-0.0034622803,-0.0066763916,0.9998671875
189,-0.0134656489,-0.0131755725,-0.0074732824,0.014604126,0.0016243896,0.9957167969
190,-0.0058320611,0.0020916031,0.0077938931,-0.0002884521,-0.0081412354,1.00084375
191,-0.0058320611,0.0097251908,0.0077938931,-0.004927124,-0.0010611572,0.9908339844
192,0.0018015267,0.0020916031,0.0077938931,-0.0022415771,0.0023568115,1.002796875
193,-0.0134656489,0.0249923664,-0.0074732824,0.0119185791,0.0018685303,0.9998671875
194,-0.0210992366,-0.0360763359,0.0154274809,0.0099654541,-0.0054556885,0.991078125
195,-0.0058320611,0.0173587786,0.0154274809,-0.0017532959,-0.002526001,1.0013320313
196,0.0018015267,-0.0055419847,0.0077938931,0.0153365479,0.0004036865,1.00475
197,0.0094351145,-0.0055419847,0.0001603053,-0.0032181396,-0.0030142822,1.0035292969
198,-0.0134656489,0.0020916031,-0.0074732824,-0.0007767334,-0.0096060791,0.9981582031
199,0.0018015267,0.0020916031,0.0306946565,0.0021529541,-0.0032584229,0.9932753906
200,0.0094351145,-0.0131755725,0.0154274809,0.0077681885,0.0047982178,1.0096328125
201,0.0018015267,0.0097251908,0.0077938931,-0.0015091553,-0.0030142822,0.9908339844
202,0.0094351145,0.0097251908,-0.022740458,-0.0032181396,-0.000572876,0.9971816406
203,0.0170687023,-0.0055419847,-0.0151068702,-0.0132279053,0.0026009521,1.0118300781
204,0.0247022901,0.0173587786,0.0001603053,-0.0112747803,-0.0015494385,1.0035292969
205,-0.0058320611,0.0097251908,0.0230610687,-0.0019974365,0.0182259521,0.9964492188
206,0.0170687023,0.0020916031,-0.0074732824,-0.0015091553,-0.0017935791,0.9952285156
207,0.0018015267,0.0097251908,0.0001603053,0.0063033447,0.005286499,1.0013320313
208,-0.0058320611,-0.0055419847,0.0154274809,-0.0032181396,0.0038216553,1.0040175781
209,0.0170687023,-0.0208091603,0.0154274809,0.0001998291,0.0008919678,1.0032851563
210,-0.0210992366,0.0249923664,0.0001603053,0.0045943604,-0.0010611572,0.9993789063
211,-0.0058320611,0.0173587786,0.0001603053,-0.0122513428,-0.0037467041,1.0049941406
212,-0.0058320611,0.0020916031,0.0154274809,-0.0061478271,-0.0013052979,1.0176894531
213,0.0170687023,0.0020916031,0.0154274809,-0.0002884521,0.0011361084,0.998890625
214,-0.0058320611,0.0097251908,0.0077938931,0.0131392822,-0.0047232666,0.9952285156
215,-0.0058320611,0.0020916031,-0.0074732824,-0.0007767334,0.0023568115,1.01646875
216,0.0094351145,-0.0131755725,0.0230610687,-0.0051712646,-0.0042349854,0.9964492188
217,-0.0210992366,0.0020916031,0.0001603053,-0.0115189209,-0.0059439697,0.9962050781
218,-0.0134656489,-0.0055419847,0.0154274809,0.0001998291,0.0160286865,0.9986464844
219,-0.0134656489,0.0173587786,0.0154274809,-0.0132279053,-0.0096060791,0.9986464844
220,0.0170687023,-0.0055419847,-0.0074732824,0.0153365479,0.0008919678,1.0159804688
221,-0.0058320611,0.0097251908,0.0001603053,0.0038619385,0.0023568115,1.0001113281
222,-0.0058320611,-0.0131755725,-0.0074732824,-0.0007767334,0.0026009521,0.9969375
223,0.0018015267,0.0020916031,-0.0074732824,0.0019088135,-0.0015494385,1.0003554688
224,-0.0058320611,-0.0208091603,0.0154274809,-0.0078568115,-0.0003287354,1.0030410156
